York Consulting – Information to aid learner decisions – November 2010,,,,,,,
  ,,,,,,,
"Q1 Summary : From the list below, please you can indicate how useful you would find the following information when making a decision about",,,,,,,
which provider and/or which course/programme of study to undertake?,,,,,,,
Base: All respondents,,,,,,,
,SUMMARY,,,,,,
,Description of course/programme (e.g. what subject/topics will be covered),"Location of where the course/programme takes place (e.g. college campus, location of provider)",How to get to the location of the course/programme by car,How to get to the location of the course/programme by public transport,Availability and cost of parking at the provider,The length of the course/programme (e.g. the number of months and years it lasts),The number of weekly hours of teaching on the course/programme
Sig. Level: 95%,a,b,c,d,e,f,g
Sig. Level: 95%,,a,b,c,*d,*e,f,g,*h,i,*j,*k,*l,*m
Sig. Level: 99%,,A,B,C,*D,*E,F,G,*H,I,*J,*K,*L,*M
Total,1047,149,283,68,18,2,157,196,10,95,26,6,8,26
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Description of course/programme (e.g. what subject/topics will be covered),706,102,204,35,10,2,100,135,8,64,18,5,5,17
,67%,68%,72%,51%,56%,100%,64%,69%,80%,67%,69%,83%,63%,65%
,,c,C,,,,,c,,c,,,,
The entry qualifications/requirements you would need to get on the course/programme,87,14,22,15,0,0,21,9,1,2,0,0,1,2
,8%,9%,8%,22%,0%,0%,13%,5%,10%,2%,0%,0%,13%,8%
,,i,,aBGI,,,GI,,,,,,,
"Location of where the course/programme takes place (e.g. college campus, location of provider)",56,6,13,6,1,0,6,15,0,6,1,0,2,0
,5%,4%,5%,9%,6%,0%,4%,8%,0%,6%,4%,0%,25%,0%
How much it would cost for you to do the course/programme,38,5,7,5,1,0,2,7,0,7,0,1,0,3
,4%,3%,2%,7%,6%,0%,1%,4%,0%,7%,0%,17%,0%,12%
,,,,bf,,,,,,bf,,,,
How to get to the location of the course/programme by public transport,33,4,11,1,1,0,7,5,0,2,0,0,0,2
,3%,3%,4%,1%,6%,0%,4%,3%,0%,2%,0%,0%,0%,8%
Whether there would be any financial support available to you to pay for the course/programme,33,8,2,2,1,0,6,10,0,3,1,0,0,0
,3%,5%,1%,3%,6%,0%,4%,5%,0%,3%,4%,0%,0%,0%
,,B,,,,,b,B,,,,,,
The balance of coursework and exams on the course/programme,24,4,10,0,2,0,4,2,1,1,0,0,0,0
,2%,3%,4%,0%,11%,0%,3%,1%,10%,1%,0%,0%,0%,0%
The length of the course/programme (e.g. the number of months and years it lasts),22,2,5,3,1,0,3,3,0,3,2,0,0,0
,2%,1%,2%,4%,6%,0%,2%,2%,0%,3%,8%,0%,0%,0%
The number of weekly hours of teaching on the course/programme,15,2,2,0,0,0,0,3,0,3,2,0,0,1
,1%,1%,1%,0%,0%,0%,0%,2%,0%,3%,8%,0%,0%,4%
,,,,,,,,,,f,,,,
"A description of the facilities at the provider (e.g. IT, library, crèche/nursery, facilities for religious faiths)",13,1,3,1,0,0,2,2,0,2,2,0,0,0
,1%,1%,1%,1%,0%,0%,1%,1%,0%,2%,8%,0%,0%,0%
"Columns Tested: A,B,C,D,E,F,G,H,I,J,K,L,M",,,,,,,,,,,,,,
08/11/11                                                                                                                               Page 9,,,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,,,
,,Learning provider ,,,,,,,,,,,,
,Total,State 6th form,State school,Grammar,City academy,Private school,6th form college,FE college,HEI,Workplace,Training centre,Learndirect,Community centre,Other
Sig. Level: 95%,,a,b,c,*d,*e,f,g,*h,i,*j,*k,*l,*m
Sig. Level: 99%,,A,B,C,*D,*E,F,G,*H,I,*J,*K,*L,*M
Total,1047,149,283,68,18,2,157,196,10,95,26,6,8,26
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
How to get to the location of the course/programme by car,7,0,1,0,1,0,2,2,0,1,0,0,0,0
,1%,0%,*%,0%,6%,0%,1%,1%,0%,1%,0%,0%,0%,0%
Whether there would be any other costs of undertaking the course/programme (e.g. field or study trips),7,1,2,0,0,0,3,0,0,1,0,0,0,0
,1%,1%,1%,0%,0%,0%,2%,0%,0%,1%,0%,0%,0%,0%
Availability and cost of parking at the provider,6,0,1,0,0,0,1,3,0,0,0,0,0,1
,1%,0%,*%,0%,0%,0%,1%,2%,0%,0%,0%,0%,0%,4%
"Columns Tested: A,B,C,D,E,F,G,H,I,J,K,L,M",,,,,,,,,,,,,,
08/11/11                                                                                                                              Page 10,,,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Q1.1 : How useful : Description of course/programme (e.g. what subject/topics will be covered),,,,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,,,
,,Sample groups ,,,,,Gender ,,Age ,,,,,
,Total,Under 16s,Not white British,Those with a disability,Social grade C2DE,Baseline,Male,Female,Under 16,16 – 18,19 – 25,Over 25
Sig. Level: 95%,,a,b,c,d,e,f,g,h,i,j,k
Sig. Level: 99%,,A,B,C,D,E,F,G,H,I,J,K
Total,1052,246,253,219,367,296,294,758,246,504,99,203
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Very useful (5.0),810,186,197,177,269,231,210,600,186,389,71,164
,77%,76%,78%,81%,73%,78%,71%,79%,76%,77%,72%,81%
,,,,d,,,,F,,,,
Somewhat useful (4.0),147,39,35,28,58,37,53,94,39,75,13,20
,14%,16%,14%,13%,16%,13%,18%,12%,16%,15%,13%,10%
,,,,,,,g,,,,,
Useful (3.0),77,13,16,8,34,24,24,53,13,33,14,17
,7%,5%,6%,4%,9%,8%,8%,7%,5%,7%,14%,8%
,,,,,c,c,,,,,Hi,
Not particularly useful (2.0),11,4,3,3,5,2,5,6,4,4,1,2
,1%,2%,1%,1%,1%,1%,2%,1%,2%,1%,1%,1%
Not useful at all (1.0),1,0,0,0,0,1,0,1,0,1,0,0
,*%,0%,0%,0%,0%,*%,0%,*%,0%,*%,0%,0%
Don't know,6,4,2,3,1,1,2,4,4,2,0,0
,1%,2%,1%,1%,*%,*%,1%,1%,2%,*%,0%,0%
Mean,4.68,4.68,4.7,4.75,4.61,4.68,4.6,4.71,4.68,4.69,4.56,4.7
,,,,d,,,,f,,,,
Std. dev.,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.8,0.7
"Columns Tested: A,B,C,D,E - F,G - H,I,J,K",,,,,,,,,,,,
08/11/11                                                                                                                              Page 11,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1.1 : How useful : Description of course/programme (e.g. what subject/topics will be covered),,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,
,,Parental social grade ,,Ethnicity ,,,,,,Region ,,
,Total,ABC1,C2DE,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Other,North,Midlands,South
Sig. Level: 95%,,a,b,c,d,*e,f,g,*h,i,j,k
Sig. Level: 99%,,A,B,C,D,*E,F,G,*H,I,J,K
Total,1052,614,367,85,50,10,35,836,21,306,299,447
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Very useful (5.0),810,488,269,64,40,6,30,646,14,233,236,341
,77%,79%,73%,75%,80%,60%,86%,77%,67%,76%,79%,76%
,,b,,,,,,,,,,
Somewhat useful (4.0),147,78,58,11,6,3,3,116,6,41,39,67
,14%,13%,16%,13%,12%,30%,9%,14%,29%,13%,13%,15%
Useful (3.0),77,38,34,7,2,1,2,61,1,27,20,30
,7%,6%,9%,8%,4%,10%,6%,7%,5%,9%,7%,7%
Not particularly useful (2.0),11,5,5,2,1,0,0,8,0,4,3,4
,1%,1%,1%,2%,2%,0%,0%,1%,0%,1%,1%,1%
Not useful at all (1.0),1,1,0,0,0,0,0,1,0,0,0,1
,*%,*%,0%,0%,0%,0%,0%,*%,0%,0%,0%,*%
Don't know,6,4,1,1,1,0,0,4,0,1,1,4
,1%,1%,*%,1%,2%,0%,0%,*%,0%,*%,*%,1%
Mean,4.68,4.72,4.61,4.63,4.73,4.5,4.8,4.68,4.62,4.65,4.7,4.68
,,b,,,,,,,,,,
Std. dev.,0.7,0.6,0.7,0.7,0.6,0.7,0.5,0.7,0.6,0.7,0.6,0.7
"Columns Tested: A,B - C,D,E,F,G,H - I,J,K",,,,,,,,,,,,
08/11/11                                                                                                                              Page 12,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1.1 : How useful : Description of course/programme (e.g. what subject/topics will be covered),,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,
,,Disability ,,,,,,,,,,
,Total,Yes,No,,,,,,,,,
Sig. Level: 95%,,a,b,,,,,,,,,
Sig. Level: 99%,,A,B,,,,,,,,,
Total,1052,219,800,,,,,,,,,
,100%,100%,100%,,,,,,,,,
Very useful (5.0),810,177,613,,,,,,,,,
,77%,81%,77%
Somewhat useful (4.0),147,28,111
,14%,13%,14%
Useful (3.0),77,8,64
,7%,4%,8%
,,,a
Not particularly useful (2.0),11,3,8
,1%,1%,1%
Not useful at all (1.0),1,0,1
,*%,0%,*%
Don't know,6,3,3
,1%,1%,*%
Mean,4.68,4.75,4.66
Std. dev.,0.7,0.6,0.7
"Columns Tested: A,B",,,
08/11/11                                                                                                                              Page 13,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Q1.1 : How useful : Description of course/programme (e.g. what subject/topics will be covered),,,,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,,,
,,Learning provider ,,,,,,,,,,,,
,Total,State 6th form,State school,Grammar,City academy,Private school,6th form college,FE college,HEI,Workplace,Training centre,Learndirect,Community centre,Other
Sig. Level: 95%,,a,b,c,*d,*e,f,g,*h,i,*j,*k,*l,*m
Sig. Level: 99%,,A,B,C,*D,*E,F,G,*H,I,*J,*K,*L,*M
Total,1052,150,285,68,19,2,157,197,10,95,26,6,8,26
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Very useful (5.0),810,120,223,50,12,2,120,157,8,64,18,5,6,23
,77%,80%,78%,74%,63%,100%,76%,80%,80%,67%,69%,83%,75%,88%
,,i,i,,,,,i,,,,,,
Somewhat useful (4.0),147,18,44,11,2,0,27,21,1,14,4,1,2,1
,14%,12%,15%,16%,11%,0%,17%,11%,10%,15%,15%,17%,25%,4%
Useful (3.0),77,8,14,5,2,0,10,16,1,16,3,0,0,2
,7%,5%,5%,7%,11%,0%,6%,8%,10%,17%,12%,0%,0%,8%
,,,,,,,,,,ABFg,,,,
Not particularly useful (2.0),11,4,1,1,2,0,0,1,0,1,1,0,0,0
,1%,3%,*%,1%,11%,0%,0%,1%,0%,1%,4%,0%,0%,0%
,,bf,,,,,,,,,,,,
Not useful at all (1.0),1,0,1,0,0,0,0,0,0,0,0,0,0,0
,*%,0%,*%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Don't know,6,0,2,1,1,0,0,2,0,0,0,0,0,0
,1%,0%,1%,1%,5%,0%,0%,1%,0%,0%,0%,0%,0%,0%
Mean,4.68,4.69,4.72,4.64,4.33,5,4.7,4.71,4.7,4.48,4.5,4.83,4.75,4.81
,,i,I,,,,i,I,,,,,,
Std. dev.,0.7,0.7,0.6,0.7,1.1,0,0.6,0.6,0.7,0.8,0.9,0.4,0.5,0.6
"Columns Tested: A,B,C,D,E,F,G,H,I,J,K,L,M",,,,,,,,,,,,,,
08/11/11                                                                                                                              Page 14,,,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Q1.2 : How useful : Location of where the course/programme takes place (e.g. college campus, location of provider)",,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,
,,Sample groups ,,,,,Gender ,,Age ,,,
,Total,Under 16s,Not white British,Those with a disability,Social grade C2DE,Baseline,Male,Female,Under 16,16 – 18,19 – 25,Over 25
Sig. Level: 95%,,a,b,c,d,e,f,g,h,i,j,k
Sig. Level: 99%,,A,B,C,D,E,F,G,H,I,J,K
Total,1052,246,253,219,367,296,294,758,246,504,99,203
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Very useful (5.0),614,119,149,137,228,172,149,465,119,279,56,160
,58%,48%,59%,63%,62%,58%,51%,61%,48%,55%,57%,79%
,,,a,A,A,a,,F,,,,HIJ
Somewhat useful (4.0),254,76,57,50,75,76,89,165,76,132,24,22
